Text,true_label,predicted_label
bos kalah wes bawa hati kemarin lu dukung pindah ibukota haha haha,Netral,Negatif
aksi heroik personel madam bakar damkar kabupaten polewali mandar sulawesi barat rela masuk salur air keruh bantu ambil barang orang ajar,Negatif,Negatif
kapal pol ix menghimbau kerja baik kapal hati proses baik kapal sedia alat madam bakar apar komandan kp ix aipda acmad jamianto,Negatif,Negatif
langsung penuh kembang api minggu,Positif,Negatif
kesan rencana bicara matang eksekutif legislatif putus pindah ibukota negara putus nyata ogah legislatif pindah ikn,Negatif,Negatif
lawak anggota sah uu nya pindah ibukota,Negatif,Negatif
gampang mah si pinokio pilkadanya undur dngn alas transisi ibukota pindah ikn mk colok ngulangin modus paman hati,Negatif,Negatif
ibukota pindah jakarta,Positif,Negatif
damkar seragam biru surabaya robot madam bakar rp m sumber ntv,Positif,Negatif
ibukota pindah garagara senggol yunjin pas joget smart,Positif,Negatif
m,Netral,Negatif
wujud polri sigap responsif personel polsek waru tugas madam bakar turun langsung evakuasi pohon tumbang desa kedungrejo sinergi gerak cepat jaga selamat warga akses jalan aman lancar,Positif,Negatif
daily lotto results are wednesday may were lucky get aplikasi cek,Positif,Netral
bakar hebat pabrik gudang plastik kawasan kapuk cengkareng jakarta barat senin wib puluh unit mobil madam bakar ratus tugas gabung terjun lokasi cegah api luas area,Negatif,Negatif
jadiin kaisar nanggung bubarin republik bangun kaisar nusantara ibukota ikn jokiwo kaisar,Positif,Negatif
sistem madam bakar mahal dimaintenance investasi pajang jebak aman palsu kenal musuh utama sistem proteksi debu detektor korosi pipa hydrant baterai panel mati,Negatif,Negatif
lukis pria isi kelas sosok vokal bakar buku isi praktik magis nama desire coba terka takut sihir periode,Negatif,Negatif
random thoughts ibukota pindah bangun stadion bagus banding gbk konser kaltim noooooo,Negatif,Negatif
th singlemore flight,Netral,Negatif
ibukota pindah ikn kemarin ldran kota,Negatif,Negatif
ibukota beneran pindah move nyala si mantan,Positif,Negatif
salah alas ibukota negara pindah,Netral,Negatif
tugas madam bakar los angeles alami luka ringan truk madam bakar kendara hilang kendali balik tabrak gedung insiden dramatis kawasan sunland los angeles california selasa sore,Negatif,Negatif
bangun stadion sepak bola standar fifa salah proyek unggul bangun ikn nusantara,Netral,Negatif
orang ibukota kosan napa ngomongnya orang jepang kalimat akhir des kakak ngentot kontol ex lu laper makan kontol ih ribet anak anjing ngentot teriak teriak pindah,Negatif,Negatif
kek anak kabupaten beneran pindah jakarta biar anak ibukota sensi jakarta kabupaten,Negatif,Negatif
nomin jodoh jn si damkar jm si mahasiswa always malam lift apart jm rusak jm jebak yap bantu si jn lift kampus jm rusak jm temennya jebak yap jn bantu,Positif,Negatif
celaka grandmax truk kontainer kedungwaru tulungagung rabu malam sopir grandmax jepit evakuasi tugas damkar endorsement information telpon chat,Negatif,Negatif
cari alas pindah ibukota,Negatif,Negatif
banjir dipikirin pindah ibukota nyambung,Negatif,Negatif
o tempo que cada temporada de miraculous levou completar s dias s dias s dias s dias s dias s dias,Positif,Negatif
jokowi dpr ri tolong gelar referendum ganti nama indonesia nusantara nama ibukotanya nama ibukota wajib nusantara jaya nama indonesia bawa pecah ketidakmampuan follow ig,Negatif,Negatif
score mondo,Netral,Netral
bandung mei jasa raharja kantor cabang bandung laku sosialisasi jrku lapor laka gedung kampus universitas widyatama bandung hadir kepala cabang bandung dwi restu handoyo kanit gakkum polrestabes bandung akp fiekry adik ampdihadiri civitas akademika universitas,Negatif,Negatif
asn sektor grogol tambur lukmanul hakim anggota pjlp grogol tambur ahmad sumantri alami cedera mata akibat semprot nozzle proses madam lukmanul hakim rujuk rscm tangan medis,Positif,Negatif
bikin ibukota banjir bawabawa pindah ibukota,Negatif,Negatif
iya tuju pindah ibukota n tuju agenda selubung aglomerasi jakarta terima n tunda,Netral,Negatif
kalimantan rasa gempa bahaya tau teman ikn suka wacana ibukota pindah kalimantan faktor resiko bencana alam gempa bumi dikit geser lempeng sana,Negatif,Negatif
gubbsekarang sukses bukti jakarta layak tinggal ibukota pindah ikn sesuai pesan,Netral,Negatif
menko kumham imigrasi masyarakat yusril ihza mahendra sorot fenomena masyarakat hubung tugas madam bakar banding polisi hadap sebut warga panggil damkar urus sejati,Positif,Negatif
cerita orang jawa terima ibukota pindah bikin opini pindah sumatera merdeka pikir ngikut kali menang provinsi wakil orang sumatera lucu,Negatif,Negatif
maaf,Netral,Negatif
pindah mutiara pusat ibukota indonesia,Netral,Negatif
ikn lanjur dukung jalan untung area kalimantan perkara ibukota dki pindah bsd bodoamatlah bikin ibukotan pindah biar propinsi rasa ibukota,Negatif,Negatif
tolong panggilin madam bakar tolong dd,Netral,Negatif
kakkk peliss ready pu semipriv,Negatif,Negatif
wujud polri sigap responsif personel polsek waru tugas madam bakar turun langsung evakuasi pohon tumbang desa kedungrejo sinergi gerak cepat jaga selamat warga,Netral,Negatif
astaga beneran sengaja bikin banjir alas pindah ibukota level busuk,Negatif,Negatif
star pines caf clubseata,Netral,Negatif
ibukota dipindahin o jokowi peristiwa nya pas muncul gera salah timbang jokowi pindahin ibukota kalimantan papar virus intoleran dukung tuju ibuktoa pindah,Positif,Negatif
apa damkar solusi puluh mahasiswa warga rumah mendalo asri desa mendalo darat camat jambi kota kabupaten muaro jambi provinsi jambi kantor madam bakar damkar kota jambi jumat aku,Negatif,Negatif
banjir alas pindah ibukota peduli warga,Netral,Negatif
dki syariah ibukota pindah ikn,Positif,Negatif
usia kantor madam bakar kunjung warga sipil siang sengaja kantor damkar anak suka henti sebentar pinggir jalan didatengin satpam,Negatif,Negatif
konon asal pelosok desa nama asli aisyia careratun naimah ekonomi syulit ybs pindah ibukota pindah ibukota kenal ubah asia carrera,Positif,Negatif
aduh kayak pindah ibukota pindah pimpin beneran peduli rakyat,Negatif,Negatif
grup rescue madam bakar bengkulu selatan tindak lanjut lapor budirman evakuasi sarang tawon vespa affinis senin mei wib lokasi sarang tawon jl trip kastalani ketapang,Negatif,Negatif
untung wan yaman keok capres pks batal ikn nusantara ibukota jakarta tuding proyek ikn cipta timpang diri kota hutan,Negatif,Negatif
madam bakar boboiboy api,Negatif,Negatif
gabung interlink active bounty season a chance win a fifa world cup trip a of usdt reward pool shared nyala utc,Positif,Positif
ibukota pindah macet luar nurul,Negatif,Negatif
pindah ibukota pakat sriwijaya jambi chola serang x pindah wilayah malaysia diri palembang,Negatif,Negatif
yaallaaah banten pindah ibukota,Netral,Negatif
boyongan pindah ibukota,Netral,Negatif
untung pulang jam ibukota pindah om,Netral,Negatif
program tuju masyarakat survei lsi maret digitalisasi perintah hilir makan siang susu gratis pindah ibukota ikn tuju program,Negatif,Negatif
mari dukung bangun ikn nusantara,Positif,Negatif
arifuji weekenders list golden rodeo be monsterr killing senang retention foto misaki uchida,Positif,Negatif
fotofoto tugas madam bakar damkar usaha madam bakar pabrik cat cikupa kabupaten tangerang banten kamis bpbd kabupaten tangerang kerah delapan unit mobil damkar madam api kobar rabu,Negatif,Negatif
analisa awam rencana pindah kota tanggal feb dar escape route siap unt hadap eskalasi politik pasca milu feb nyoblos esok ibukota pindah demo apa tak jangkau ikn pintar kasih skor,Negatif,Negatif
panggil madam bakar gitu lt,Netral,Negatif
progres bangun ikn,Netral,Negatif
milih pilpres baca visi misi paslon tahu pindah ibukota visi misi jokowi mikir ikn rencana matang jokowi,Negatif,Negatif
dampak kayak rasa perintah indonesia berani pindah ibukota jakarta jawa nusantara kalimantan negara kalimantan malaysia brunei bangun bangun pikir kereta api lintas negara,Negatif,Negatif
ibukota aku proyek jokowi egois kenang monumen ikn pindah ibukota kota kota sepi canberra inti pindah pusat perintah,Negatif,Negatif
ngotot ibukota pindah bajing,Negatif,Negatif
jokowi jakarta tenggelam cepat koar n reak mikirrr tongapa alas ibukota pindah cari alas sebar spy paham n dungu,Negatif,Negatif
pindah ibukota,Netral,Negatif
pindah ibukota inisiasi karno jokowi lanjut program karno,Negatif,Negatif
nusantara bangsa maju ibukota,Negatif,Negatif
jennifer bachdim alami insiden duga buat panggil tugas madam bakar damkar istri sepak bola irfan bachdim rela cincin kawin potong tugas damkar luka jari,Negatif,Negatif
funfact gin tau ibukota negara kicik adik suka bacain atlas lomba tebak ibukota ngajarin kota negara mah pindah jalur ngajar,Negatif,Negatif
tugas dinas madam bakar selamat damkarla kabupaten gresik hasil evakuasi ekor burung elang jawa temu kondisi luka desa sidojangkung camat anti kabupaten gresik senin petang,Negatif,Negatif
anti pindah kepitel city partai twitter amanah indonesia kek tolak kepitel city pindah pekaes partially tuju ibukota legislatif,Negatif,Negatif
hi kk andra admin layan sepenuh hati mhn maaf ketidaknyamanannya admin tindak lanjut mhn bantu alamat lngkp jlkel nomor telfon aktif pesan admin tunggu konfirmasi tksguntur,Positif,Positif
tt village maier pre no gimmick fest at shinjuku club science shinjuku heist openstart club sicnece live pop advdoord,Netral,Netral
bersih tl,Netral,Netral
ibukota pindah mana,Netral,Negatif
pikir orang bodoh lihat video bawah bodoh anjir jawab indonesia barat indonesia timur fyi ibukota kalsel pindah banjarbaru,Negatif,Negatif
audrey jemaah haji kota bandung,Negatif,Negatif
copas kakk ready pu semipriv,Negatif,Negatif
ibukota pindahklo mrk ngelunjak,Netral,Negatif
kabupaten klaten gedung markas madam bakar damkar representative gedung harap gedung kerja damkar tingkat,Positif,Negatif
solusi gimana giant sea wall tau indonesia doang pindah ibukota kurang beban jakarta lihat duduk luar jakarta bondong bondong jakarta,Negatif,Negatif
putus bikin pusing kepala jakarta banjir alas pindah ibukota,Negatif,Negatif
tugas damkar liat,Negatif,Negatif
ibukota nya pindah dungus cariang,Netral,Negatif
bakar landa bus universitas kampus anggrek kawasan manggis palmerah jakarta barat jumat pagi asap tebal bumbung area kampus tugas madam bakar proses madam pagi tugas lokasi,Netral,Negatif
bajet masuk akal kakak proyek ketimbang pindah ibukota,Netral,Negatif
bal papua orang asli dikatain diskriminatif jakarta ibukota pindah kalimantan,Negatif,Negatif
mau mobil madam bakar,Negatif,Negatif
jalan pada transportasi publik puskesmas layak sekolah kualitas butuh orang bangga status ibukota pindah pulau tinggal jam jalan darat ikn berita rumah megah tri,Positif,Negatif
bikin alas pindah ibukota,Positif,Negatif
ubah kota jancuk kota industri ekonomi ibukota pindah macet,Negatif,Negatif
apa fieldnya kerja profesionalitas lu madam bakar lu lawyer lu guru profesionalitas jaga dokter tirta,Negatif,Negatif
surat buka minta maaf kaka wibu suka men elu madam bakar jam gin kakak mah daftar,Negatif,Negatif
terimakasih kpu presiden jokowi bantu menpercepat indonesia bubar mari zaman ibukota raja nusantara,Negatif,Negatif
solusi pindah kota kabupaten ibukota,Netral,Negatif
dewan hormat asosiasi fintech indonesia aftech resmi panggil pt indosaku digital teknologi indosaku usaha selenggara layan dana bas teknologi informasi lpbbti,Positif,Negatif
orang kota semenjak ibukota pindah orang kampung,Negatif,Negatif
maaf oot feni rose sekolah dasar nama buku rapor tulis orang tau ibukota negara pindah,Negatif,Negatif
perintah provinsi pemprov papua barat rencana bangun kantor hubung guest house staf kota balikpapan lokasi dekat kota nusantara ikn kalimantan timur kaltim baca lengkap,Negatif,Negatif
wegah men pindah ibukota seng durung rampung,Netral,Negatif
nyetujuin pindah ibukota ngesahain uu ikn gamau pindah,Negatif,Negatif
gitu sama daerah inbukota pindah predikat daerah khusus nya hilang propinsi jakarta ibukota tanah kakak,Negatif,Negatif
inul pindah ibukota,Netral,Negatif
ibukota indonesia orang kota nusantara ibukota indonesia orang pks jakarta,Negatif,Negatif
iya ibukota pindah nst,Positif,Negatif
ikn nusantara ibukota negara baik desain bas state of art of technology sumber energi bersih dukung teknologi pintar bas artificial intelligence ai fb ig devina amel mark zuckerberg fitra eri heru budi x,Negatif,Negatif
banjir ingat ibukota pindah,Negatif,Negatif
bupati bengkal ikut rakornas bahas kontribusi daerah ibukota nusantara,Positif,Netral
sepakat pakar bijak publik agus pambagio bilang upacara mudah ibukota pindah ikn satu investor minat bangun ikn,Negatif,Negatif
koalisi masyarakat sipil kalimantan timur tolak bongkar paksa gusur proyek kota negara ikn nusantara,Negatif,Negatif
khusus jakarta hilang ibukota negara pindah kota nusantara kembali jakarta daerah otonom tingkat provinsi aneh wacana status jakarta daerah khusus status daerah khusus ikn,Negatif,Negatif
terima sty naturalisasi main lihat main lokal gin main lucu lihat politis komen negatif sty oia dink guyu cuan ibukota pindah ikn dprnya jakarta,Positif,Negatif
bangun istana negara iral,Netral,Negatif
iya bro biar rakyat pindah ikn ibukota jakarta bikin betah orang tinggal sana,Positif,Negatif
dpi fisheries advise tagged white shark detected port macquarie receiver at pm aest nyala may detected at pm aest nyala may port macquarie receivertagged released juneaest at bung beach sydney north,Netral,Netral
langkah pemprov dki hancur enak ngomongnya dki sanggup ibukota pindah gitu kali,Negatif,Negatif
nulis kisah fiksi canibal makan daging manusia atheisme kisah nyata mbah yaaaai mundur langkah pindah negoro darossalam ibukota jakarta laku mbah yaaaai,Positif,Negatif
pesan,Netral,Negatif
lowong kerja tugas madam bakar damkar buka perintah provinsi dki jakarta hasil curi perhati publik kecuali cari kerja lamar asal jakarta fenomena,Negatif,Negatif
grup rescue madam bakar bengkulu selatan tindak lanjut lapor buyung augi evakuasi sarang tawon vespa affinis jumat mei wib lokasi sarang tawon jl ahmad yani ibul kota manna,Negatif,Negatif
resum temp mx c temp c hum mx hum bar mx hpa bar hpa radiaci solar mx wm ndex uv mx uvi vent mx kmh pluja davui mm,Netral,Netral
ibukota pindah ikn ikn,Netral,Negatif
banjir landa kawasan semper barat camat cilincing jakarta utara warga bantu tugas madam bakar evakuasi kucing pelihara,Netral,Negatif
formacin i ciclo de formacin daring de la base de datos de scopus junio iya de junio h info n,Netral,Negatif
ket biyen distrust alas historis e pelintir presiden sukarno pindah ibukota sido uu thn uu laku cm gawe jelas tok lek jakarta ibukota inti sido pindah,Netral,Negatif
terima pindah ibukota,Netral,Negatif
kota negara pindah ikn pakar tata negara butuh konstitusi pindah ibukota negara saat hidup rakyat susah derita jalan hidup,Negatif,Negatif
bikin jakarta banjir biar alas pindah ibukota kuat,Netral,Negatif
urus negara ibukota lah tri pindah,Netral,Negatif
selesai ngajar masuk ruang dosen kumpul bareng meja dosen m jadi empat jalan mobil pulici madam bakar ambulans truk mbg diprioritasin dosen p tetiba,Negatif,Negatif
polres ngawi pimpin kapolres ngawi akbp prayoga angga widyatama polsek kendal laksana sosialisasi telpon center alami ganggu kamtibmas tindak kriminalitas situasi darura,Netral,Negatif
pindah ibukota part,Netral,Negatif
score mondo,Netral,Netral
halo dd lenceng tugas damkar komedian suka lihat orang tawa,Negatif,Negatif
februari jakarta ibukota negara nama indonesia maret pindah depok,Negatif,Negatif
miercoles de mayo de sorteo gitu kakak info del sorteo en,Negatif,Negatif
kerja selasa mei wib selesai wilayah dampak kwasen rejo greenwood kalialang jogoprono sadeng nongkosawit bukit manyar permai selo rejo dewi sartika barat cepoko dewi sartika timur,Positif,Negatif
adaa kakak kia aman masuk garansi sesuai durasi k k k k k k k k lifetime garansi th k,Negatif,Negatif
pindah ibukota negara aglomerasi bangun gedung tilik kawasan sawah green house kemarau maaf iya negara duluan merdeka gag pindah ibukota,Negatif,Negatif
baca berita status dki jakarta ibukota indonesia expired februari kemarin milu status nusantara ibukota pres ibukota indonesia mana,Negatif,Negatif
jabat tolol banget banget negeri angkasa ikn progress bangun asn pindah kesitu tau ketok palu dki jakarta ibukota,Negatif,Negatif
fakta pt pt mmksi bicara guna kendara riset komersial l ev ibukota nusantara,Positif,Negatif
perata simbol aneh ratain iya ratain buang uang bikin simbol mending langsung kerjain perata bangun jalan sumatera papua pindah ibukota dl hubung jakarta n banjir perata,Netral,Negatif
nunggu ibukota pindah ikn bata bkl pakai timnas,Positif,Negatif
do doy week vaavu atoll since until,Negatif,Netral
gubernur dki jakarta pramono anung sebut lamar rekrutmen tugas madam bakar damkar tembus ribu orang kamis,Positif,Negatif
iya nyak panggilin tugas rsj damkar,Netral,Negatif
pilih kali pilih berani jamin jakarta ibukota ngebatalin reklamasi pulau pik pindah reklamasi pik tangerang,Negatif,Negatif
ibukota pindah nusantara jakarta ubah ikn,Negatif,Negatif
i know did summer nyala spotify ikwydls streams over since april,Netral,Netral
komitmen peran aktif jasa raharja dukung lancar operasi lilin nataru operasi ketupat apresiasi polisi negara republik indonesia kepala korps lintas polri irjen pol agus suryonugroho terima kasih,Positif,Negatif
komen ibukota kalsel pindah banjarbaru ngasih pertanyaaan tau video,Negatif,Negatif
bakar landa auditorium bina nusantara universitas bus jalan raya kebon jeruk jakarta barat pagi unit personel madam bakar kerah kronologi sebab bakar,Negatif,Negatif
half a year ago investigations ongoing pribadi level care yourself orang round local area social level accountability orang are rightly be angry disappointed about lack of it,Positif,Negatif
gubernur hadir serah hibah kendara dinas operasional kdo madam bakar damkar milik dinas tanggulang bakar selamat gulkarmat dki jakarta daerah indonesia,Positif,Negatif
maklum desain spya jakarta kebnjiran agr opini bsa giring ibukota pindah ikn,Netral,Negatif
cairo ibukota mesir jam jalan mobil masuk akal tinggal cairo kerja ibukota ain kereta cepat jarak jakarta ikn jalan bayang biaya pindah spdd jelang pindah penuh,Netral,Negatif
ngehype idol ibukota kota pindah,Negatif,Negatif
